country,total_articles,high_quality_articles,population,total_articles_per_capita,high_quality_articles_per_capita
peru,74,5,33.8,2.1893491124260356,0.14792899408284024
poland,159,7,37.7,4.2175066312997345,0.18567639257294427
portugal,75,2,10.5,7.142857142857143,0.19047619047619047
qatar,5,0,2.7,1.8518518518518516,0.0
russia,119,9,146.9,0.810074880871341,0.06126616746085772
rwanda,16,2,14.1,1.1347517730496455,0.14184397163120568
samoa,8,0,0.2,40.0,0.0
saudi arabia,5,2,36.9,0.13550135501355015,0.05420054200542006
senegal,31,0,18.3,1.6939890710382512,0.0
serbia,79,6,6.6,11.96969696969697,0.9090909090909092
seychelles,6,0,0.1,60.0,0.0
sierra leone,22,0,8.9,2.4719101123595504,0.0
singapore,4,0,5.8,0.6896551724137931,0.0
slovakia,33,1,5.4,6.111111111111111,0.18518518518518517
slovenia,38,2,2.1,18.095238095238095,0.9523809523809523
solomon islands,12,0,0.8,15.0,0.0
somalia,102,2,18.1,5.635359116022099,0.11049723756906077
south africa,97,8,60.7,1.5980230642504119,0.13179571663920922
south sudan,70,3,11.1,6.306306306306307,0.2702702702702703
spain,137,18,48.3,2.8364389233954452,0.3726708074534162
sri lanka,64,5,22.7,2.8193832599118944,0.22026431718061676
st. kitts and nevis,3,0,0.1,30.0,0.0
st. lucia,3,0,0.2,15.0,0.0
st. vincent and the grenadines,4,0,0.1,40.0,0.0
sudan,46,5,48.1,0.9563409563409563,0.10395010395010394
sweden,69,2,10.5,6.571428571428571,0.19047619047619047
switzerland,87,7,8.8,9.886363636363635,0.7954545454545454
syria,37,2,23.2,1.5948275862068966,0.08620689655172414
taiwan,10,0,23.4,0.4273504273504274,0.0
tajikistan,14,1,10.2,1.3725490196078431,0.09803921568627452
tanzania,32,0,67.4,0.4747774480712166,0.0
thailand,43,5,66.0,0.6515151515151515,0.07575757575757576
timor leste,15,0,1.4,10.714285714285715,0.0
togo,6,0,9.1,0.6593406593406593,0.0
tonga,10,0,0.1,100.0,0.0
trinidad and tobago,18,1,1.4,12.857142857142858,0.7142857142857143
tunisia,58,4,11.9,4.873949579831932,0.3361344537815126
turkey,53,0,85.6,0.619158878504673,0.0
turkmenistan,12,0,7.1,1.6901408450704227,0.0
tuvalu,1,0,0.0,inf,
uganda,65,1,48.6,1.337448559670782,0.0205761316872428
ukraine,79,8,36.7,2.1525885558583107,0.217983651226158
united arab emirates,21,2,9.5,2.210526315789474,0.21052631578947367
uruguay,36,1,3.6,10.0,0.2777777777777778
uzbekistan,25,0,36.4,0.6868131868131868,0.0
vanuatu,4,0,0.3,13.333333333333334,0.0
venezuela,56,1,28.8,1.9444444444444444,0.034722222222222224
vietnam,36,2,98.9,0.36400404448938317,0.020222446916076844
yemen,32,0,34.4,0.9302325581395349,0.0
zambia,3,0,20.2,0.1485148514851485,0.0
zimbabwe,69,0,16.7,4.131736526946108,0.0
